School,Zip Code,Grades,Local District,Board District,complete_address,latitude,longitude
Weigand Avenue Elementary,90002,K- 5,S,7-Dr Richard A Vladovic,10401 Weigand Ave Los Angeles CA 90002,33.9410882,-118.2299565
Sally Ride Elementary: A Smart Academy,90011,K- 5,C,5-Jackie Goldberg,1041 E 46th St Los Angeles CA 90011,34.002315100000004,-118.2567737
Valley Academy of Arts and Sciences,91344,9-12,NW,3-Scott M Schmerelson,10445 Balboa Blvd Granada Hills CA 91344,34.2598026,-118.5027832
Amestoy Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,1048 W 149th St Gardena CA 90247,33.8957263,-118.293351
West Hollywood Community Day School,90046,7-12,W,4-Nick Melvoin,1049 N Fairfax Ave West Hollywood CA 90046,34.0900009,-118.3618318
Equitas Academy #3 Charter School,90015,K- K,XR,2-Monica Garcia,1050 Beacon Ave Los Angeles CA 90015,34.0485365,-118.2759098
Aurora Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,1050 E 52nd Pl Los Angeles CA 90011,33.994816,-118.25745890000002
Granada Hills Charter,91344,9-12,XR,3-Scott M Schmerelson,10535 Zelzah Ave Granada Hills CA 91344,34.2609052,-118.5253692
Dorothy V Johnson Community Day School,90002,9-12,S,7-Dr Richard A Vladovic,10601 S Grandee Ave Los Angeles CA 90002,33.9391766,-118.24400520000002
Teach Tech Charter High School,90047,9-12,XR,1-Dr George J McKenna III,10616 S Western Ave Los Angeles CA 90047,33.9394,-118.3087971
Verdugo Hills Senior High,91042,9-12,NE,6-Kelly Gonez,10625 Plainview Ave Tujunga CA 91042,34.2613775,-118.2993739
Overland Avenue Elementary,90064,K- 5,W,1-Dr George J McKenna III,10650 Ashby Ave Los Angeles CA 90064,34.038214,-118.4213025
"Girls Academic Leadership, Dr Michelle King School for STEM",90019,6-12,W,1-Dr George J McKenna III,1067 West Blvd Los Angeles CA 90019,34.05536970000001,-118.3314597
Alliance Cindy & Bill Simon Technology Academy,90059,9-12,XR,7-Dr Richard A Vladovic,10720 S Wilmington Ave Los Angeles CA 90059,33.938494,-118.2387416
Roscoe Elementary,91352,K- 5,NE,6-Kelly Gonez,10765 Strathern St Sun Valley CA 91352,34.2159951,-118.3665367
Downtown Business Magnet,90012,9-12,C,2-Monica Garcia,1081 W Temple St Los Angeles CA 90012,34.0630446,-118.250412
Darby Avenue Elementary,91326,K- 5,NW,3-Scott M Schmerelson,10818 Darby Ave Porter Ranch CA 91326,34.2661632,-118.5332407
Plainview Academic Charter Academy,91042,K- 5,NE,6-Kelly Gonez,10819 Plainview Ave Tujunga CA 91042,34.2655714,-118.2984531
George Washington Preparatory Senior High,90047,9-12,W,1-Dr George J McKenna III,10860 S Denker Ave Los Angeles CA 90047,33.9372016,-118.3043694
Palms Middle School,90034,6- 8,W,1-Dr George J McKenna III,10860 Woodbine St Los Angeles CA 90034,34.0235718,-118.4164463
Tulsa Street Elementary,91344,K- 5,NW,3-Scott M Schmerelson,10900 Hayvenhurst Ave Granada Hills CA 91344,34.269231,-118.492357
Oxnard Street Elementary,91606,K- 5,NE,6-Kelly Gonez,10912 Oxnard St North Hollywood CA 91606,34.179155200000004,-118.3686112
109th Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,10915 S Mc Kinley Ave Los Angeles CA 90059,33.9370458,-118.2616616
Century Park Elementary,90303,K- 5,W,1-Dr George J McKenna III,10935 S Spinning Ave Inglewood CA 90303,33.9370316,-118.31919109999998
Berenece Carlson Home School,91602,K-12,XS,3-Scott M Schmerelson,10952 Whipple St North Hollywood CA 91602,34.1478747,-118.368802
Mount Gleason Middle School,91040,6- 8,NE,6-Kelly Gonez,10965 Mt Gleason Ave Sunland CA 91040,34.2686865,-118.30387140000002
Telfair Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,10975 Telfair Ave Pacoima CA 91331,34.2687359,-118.4318989
Citizens of the World Silver Lake,90026,K- 4,XR,5-Jackie Goldberg,110 N Coronado St Los Angeles CA 90026,34.069417,-118.275321
Alliance Morgan McKinzie High,90063,9-12,XR,2-Monica Garcia,110 S Townsend Ave Los Angeles CA 90063,34.0356467,-118.1877533
Vox Collegiate of Los Angeles,90044,6- 6,XR,7-Dr Richard A Vladovic,1100 W Manchester Ave Los Angeles CA 90044,33.95962859999999,-118.2941828
Mission Continuation High,91340,9-12,NE,6-Kelly Gonez,11015 O'Melveny Ave San Fernando CA 91340,34.270220200000004,-118.4399808
Pacoima Charter Elementary,91331,K- 5,XR,6-Kelly Gonez,11016 Norris Ave Pacoima CA 91331,34.27025689999999,-118.41569040000002
Clover Avenue Elementary,90034,K- 5,W,1-Dr George J McKenna III,11020 Clover Ave Los Angeles CA 90034,34.0265375,-118.4246163
Sara Coughlin Elementary School,91331,K- 5,NE,6-Kelly Gonez,11035 Borden Ave Pacoima CA 91331,34.2703727,-118.4027551
95th Street Elementary,90044,K- 5,W,1-Dr George J McKenna III,1109 W 96th St Los Angeles CA 90044,33.94902020000001,-118.2946396
West Athens Elementary,90044,K- 5,W,1-Dr George J McKenna III,1110 W 119th St Los Angeles CA 90044,33.9244445,-118.294912
Ritter Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,11108 Watts Ave Los Angeles CA 90059,33.933983500000004,-118.227579
Dr Richard A Vladovic Harbor Teacher Preparation Academy,90744,9-12,S,7-Dr Richard A Vladovic,1111 Figueroa Pl Wilmington CA 90744,33.78411,-118.2826821
Ford Boulevard Elementary,90022,K- 5,E,5-Jackie Goldberg,1112 S Ford Blvd Los Angeles CA 90022,34.020241,-118.17142
Animo South Los Angeles Charter High School,90047,9-12,XR,1-Dr George J McKenna III,11130 Western Ave Los Angeles CA 90047,33.9330145,-118.3083202
Charnock Road Elementary,90034,K- 5,W,1-Dr George J McKenna III,11133 Charnock Rd Los Angeles CA 90034,34.0177163,-118.4197331
San Fernando Senior High,91340,9-12,NE,6-Kelly Gonez,11133 O'Melveny Ave San Fernando CA 91340,34.2701053,-118.44012759999998
Oscar de la Hoya Animo Charter High School,90023,9-12,XR,2-Monica Garcia,1114 S Lorena St Los Angeles CA 90023,34.0232883,-118.2034093
Hollywood Primary Center,90038,K- 4,W,4-Nick Melvoin,1115 Tamarind Ave Los Angeles CA 90038,34.0912722,-118.3193004
Aragon Avenue Elementary,90065,K- 5,C,5-Jackie Goldberg,1118 Aragon Ave Los Angeles CA 90065,34.095274,-118.225319
Danube Avenue Elementary,91344,K- 5,NW,3-Scott M Schmerelson,11220 Danube Ave Granada Hills CA 91344,34.273809,-118.473926
Samuel Gompers MS University Pathways Medical Magnet Academy,90061,9-11,S,7-Dr Richard A Vladovic,11227 S San Pedro St Los Angeles CA 90061,33.9325242,-118.2695676
Meyler Street Elementary,90502,K- 5,S,7-Dr Richard A Vladovic,1123 W 223rd St Torrance CA 90502,33.825404,-118.295839
Wisdom Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,1125 E 74th St Los Angeles CA 90001,33.973449200000005,-118.2560885
John F Kennedy Senior High Gifted Medical Magnet,91344,9-12,NW,3-Scott M Schmerelson,11254 Gothic Ave Granada Hills CA 91344,34.275948,-118.487586
Alliance College Ready Academy #8,90063,6- 8,XR,2-Monica Garcia,113 S Rowan Ave Los Angeles CA 90063,34.0354635,-118.1874607
San Fernando Elementary,91340,K- 5,NE,6-Kelly Gonez,1130 Mott St San Fernando CA 91340,34.2794715,-118.4477918
Community Elementary Magnet Charter School,90049,K- 5,W,4-Nick Melvoin,11301 Bellagio Rd Los Angeles CA 90049,34.0827061,-118.462707
Ramona Elementary,90029,K- 6,W,5-Jackie Goldberg,1133 N Mariposa Ave Los Angeles CA 90029,34.0918115,-118.299709
Magnolia Science Academy #4,90064,6-12,XR,4-Nick Melvoin,11330 W Graham Pl Los Angeles CA 90064,34.0298675,-118.43475990000002
Fenton Avenue Primary Center,91331,K- 2,XR,6-Kelly Gonez,11351 Dronfield Ave Pacoima CA 91331,34.276331400000004,-118.4036018
Wilmington Park Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,1140 Mahar Ave Wilmington CA 90744,33.7862172,-118.2461752
Brainard Elementary,91342,K- 5,NE,6-Kelly Gonez,11407 Brainard Ave Lakeview Terrace CA 91342,34.2773899,-118.36462
Maurice Sendak Elementary,91601,K- 5,NE,6-Kelly Gonez,11414 W Tiara St North Hollywood CA 91601,34.178419,-118.3798265
PUC Lakeview Charter Academy,91342,6- 8,XR,6-Kelly Gonez,11465 Kagel Cyn St Lakeview Terrace CA 91342,34.2801323,-118.3815435
PUC Community Charter Middle & Early College High Schools,91342,6- 8,XR,6-Kelly Gonez,11500 Eldridge Ave Lakeview Terrace CA 91342,34.2800972,-118.3823795
Woodcrest Elementary,90044,K- 5,W,1-Dr George J McKenna III,1151 W 109th St Los Angeles CA 90044,33.937644899999995,-118.29591840000002
Arminta Street Elementary,91605,K- 5,NE,6-Kelly Gonez,11530 Strathern St North Hollywood CA 91605,34.214783000000004,-118.3826
Cimarron Avenue Elementary,90250,K- 5,W,1-Dr George J McKenna III,11559 Cimarron Ave Hawthorne CA 90250,33.929058000000005,-118.315966
Citizens of the World Mar Vista,90064,K- 2,XR,4-Nick Melvoin,11561 Gateway Blvd Los Angeles CA 90064,34.0319369,-118.442635
Richland Avenue Elementary,90064,K- 6,W,4-Nick Melvoin,11562 Richland Ave Los Angeles CA 90064,34.028370200000005,-118.4402858
Berendo Middle School,90006,6- 8,C,2-Monica Garcia,1157 S Berendo St Los Angeles CA 90006,34.0493379,-118.2940013
116th Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,11610 Stanford Ave Los Angeles CA 90059,33.9288029,-118.2619356
Colfax Charter Elementary,91607,K- 5,NE,3-Scott M Schmerelson,11724 Addison St North Hollywood CA 91607,34.160514600000006,-118.3889249
Stoner Avenue Elementary,90230,K- 5,W,4-Nick Melvoin,11735 Braddock Dr Culver City CA 90230,33.995252,-118.41326200000002
University High School Charter,90025,9-12,W,4-Nick Melvoin,11800 Texas Ave Los Angeles CA 90025,34.046169799999994,-118.4601474
Knollwood Preparatory Academy,91344,K- 5,NW,3-Scott M Schmerelson,11822 Gerald Ave Granada Hills CA 91344,34.285361,-118.49254
Fenton Avenue Elementary,91342,3- 5,XR,6-Kelly Gonez,11828 Gain St Lakeview Terrace CA 91342,34.2803696,-118.3906069
Alliance Marine Tech 6-12 Complex,91352,6-12,XR,6-Kelly Gonez,11933 Allegheny St Sun Valley CA 91352,34.2372206,-118.393284
Estrella Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,120 E 57th St Los Angeles CA 90011,33.9904823,-118.273401
Hillside Elementary,90031,K- 5,E,2-Monica Garcia,120 E Avenue 35 Los Angeles CA 90031,34.0851554,-118.2126853
Francisco Bravo Senior High Medical Magnet,90033,9-12,E,2-Monica Garcia,1200 N Cornwell St Los Angeles CA 90033,34.0576093,-118.2032265
Felicitas And Gonzalo Mendez Senior High,90033,9-12,E,2-Monica Garcia,1200 Plaza Del Sol Los Angeles CA 90033,34.0485209,-118.2270324
Los Angeles Academy of Arts and Enterprise,90026,6-12,XR,2-Monica Garcia,1200 W Colton St Los Angeles CA 90026,34.06203900000001,-118.2544158
Fernangeles DL One & Two-Way Im Spanish,91352,K- 4,NE,6-Kelly Gonez,12001 Art St Sun Valley CA 91352,34.231732,-118.39503
Los Angeles Elementary,90006,K- 5,C,2-Monica Garcia,1211 S Hobart Blvd Los Angeles CA 90006,34.0476826,-118.305646
Queen Anne Place Elementary,90019,K- 5,W,1-Dr George J McKenna III,1212 Queen Anne Pl Los Angeles CA 90019,34.0520009,-118.3309445
Park Western Place Elementary,90732,K- 5,S,7-Dr Richard A Vladovic,1214 Park Western Pl San Pedro CA 90732,33.7528158,-118.3045043
Camino Nuevo High School,90026,9-10,XR,2-Monica Garcia,1215 W Miramar St Los Angeles CA 90026,34.0580589,-118.2578244
PUC Nueva Esperanza Charter Academy,91340,6- 8,XR,6-Kelly Gonez,1218 4th St San Fernando CA 91340,34.287766999999995,-118.4385348
Burbank Boulevard Elementary,91607,K- 5,NE,3-Scott M Schmerelson,12215 Albers St North Hollywood CA 91607,34.170582399999994,-118.3991721
Playa Del Rey Elementary,90230,K- 5,W,4-Nick Melvoin,12221 Juniette St Culver City CA 90230,33.982265500000004,-118.4096241
Animo Legacy Charter Middle School,90047,6- 8,XR,1-Dr George J McKenna III,12226 S Western Ave Los Angeles CA 90047,33.9211517,-118.3086373
El Oro Way Charter for Enriched Studies,91344,K- 5,NW,3-Scott M Schmerelson,12230 El Oro Way Granada Hills CA 91344,34.2932011,-118.5048264
Hooper Avenue Elementary,90011,1- 5,C,5-Jackie Goldberg,1225 E 52nd St Los Angeles CA 90011,33.9956919,-118.2536216
Aspire Inskeep Academy Charter,90003,K- 6,XR,7-Dr Richard A Vladovic,123 W 59th St Los Angeles CA 90003,33.9872111,-118.2743145
Robert Frost Middle School,91344,6- 8,NW,3-Scott M Schmerelson,12314 Bradford Pl Granada Hills CA 91344,34.2947615,-118.5115905
Harry Bridges Span School,90744,K- 8,S,7-Dr Richard A Vladovic,1235 Broad Ave Wilmington CA 90744,33.7872845,-118.2617529
Arts in Action Community Middle,90023,6- 8,XR,2-Monica Garcia,1241 S Soto St Los Angeles CA 90023,34.027525399999995,-118.219859
John H Francis Polytechnic Senior High,91352,9-12,NE,6-Kelly Gonez,12431 Roscoe Blvd Sun Valley CA 91352,34.222798700000006,-118.4041655
Vista del Valle Dual Language Academy,91340,K- 5,NE,6-Kelly Gonez,12441 Bromont Ave San Fernando CA 91340,34.2957652,-118.421513
Porter Ranch School DL Two-Way Im Korean,91326,K- 5,NW,3-Scott M Schmerelson,12450 Mason Ave Porter Ranch CA 91326,34.293056400000005,-118.5812973
Goethe International Charter School,90066,K- 5,XR,4-Nick Melvoin,12500 Braddock Dr Los Angeles CA 90066,33.987381899999995,-118.4222706
Robert H Lewis Continuation High,91352,9-12,NE,6-Kelly Gonez,12508 Wicks St Sun Valley CA 91352,34.226157,-118.404227
Bert Corona Charter High,91331,9-10,XR,6-Kelly Gonez,12513 Gain St Pacoima CA 91331,34.271262799999995,-118.404461
Glenn Hammond Curtiss Middle School,90746,6- 8,S,7-Dr Richard A Vladovic,1254 E Helmick St Carson CA 90746,33.8500676,-118.2507222
Charles Maclay Middle School,91331,6- 8,NE,6-Kelly Gonez,12540 Pierce Ave Pacoima CA 91331,34.2712446,-118.4060633
PUC Inspire Charter Academy,91331,6- 8,XR,6-Kelly Gonez,12550 Van Nuys Blvd Pacoima CA 91331,34.2765311,-118.4054708
Hillery T Broadous Elementary,91331,K- 5,NE,6-Kelly Gonez,12561 Filmore St Pacoima CA 91331,34.283035,-118.408263
Ann Street Elementary,90012,K- 5,E,2-Monica Garcia,126 E Bloom St Los Angeles CA 90012,34.064324799999994,-118.2302763
Lenicia B Weemes Elementary,90007,K- 5,C,1-Dr George J McKenna III,1260 W 36th Pl Los Angeles CA 90007,34.0216126,-118.2967404
Ocean Charter,90066,K- 8,XR,4-Nick Melvoin,12606 Culver Blvd Los Angeles CA 90066,33.986434,-118.424274
Animo Watts College Preparatory Academy,90061,9-12,XR,7-Dr Richard A Vladovic,12628 Avalon Blvd Los Angeles CA 90061,33.9179976,-118.2641283
Russell Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,1263 E Firestone Blvd Los Angeles CA 90001,33.9605203,-118.251703
Endeavor College Prep Charter School,90023,K- 8,XR,2-Monica Garcia,1263 S Soto St Los Angeles CA 90023,34.026679,-118.2200417
112th Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1265 E 112th St Los Angeles CA 90059,33.933774799999995,-118.2529361
Larchmont Charter School,90046,K-10,XR,4-Nick Melvoin,1265 N Fairfax Ave West Hollywood CA 90046,34.093587799999995,-118.3618775
Animo Mae Jemison Charter Middle School,90061,6- 8,XR,7-Dr Richard A Vladovic,12700 Avalon Blvd Los Angeles CA 90061,33.9175334,-118.2638999
New Design Charter School - Watts,90061,6-12,XR,7-Dr Richard A Vladovic,12714 S Avalon Los Angeles CA 90061,33.91713970000001,-118.2646764
El Dorado Avenue Elementary,91342,K- 5,NE,6-Kelly Gonez,12749 El Dorado Ave Sylmar CA 91342,34.3014391,-118.465918
Hooper Avenue Primary Center,90011,K- K,C,5-Jackie Goldberg,1280 E 52nd St Los Angeles CA 90011,33.9954878,-118.2525393
Short Avenue Elementary,90066,K- 6,W,4-Nick Melvoin,12814 Maxella Ave Los Angeles CA 90066,33.9900857,-118.4319635
Charles Leroy Lowman Special Ed & Career Transition Center,91605,K-12,NE,6-Kelly Gonez,12827 Saticoy St North Hollywood CA 91605,34.2067077,-118.4127961
Main Street Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,129 E 53rd St Los Angeles CA 90011,33.9946065,-118.2730813
Jack London Continuation High,91401,9-12,NE,3-Scott M Schmerelson,12924 Oxnard St Van Nuys CA 91401,34.17931420000001,-118.4147006
Phoenix Continuation High,90066,9-12,W,4-Nick Melvoin,12971 Zanja St Los Angeles CA 90066,33.9969532,-118.44098
San Fernando Middle School,91340,6- 8,NE,6-Kelly Gonez,130 N Brand Blvd San Fernando CA 91340,34.2828802,-118.4373758
James Madison Middle School,91605,6- 8,NE,3-Scott M Schmerelson,13000 Hart St North Hollywood CA 91605,34.196244,-118.416501
Montague Charter Academy for the Arts and Sciences,91331,K- 5,XR,6-Kelly Gonez,13000 Montague St Pacoima CA 91331,34.2444734,-118.4153097
Ulysses S Grant Senior High,91401,9-12,NE,3-Scott M Schmerelson,13000 Oxnard St Van Nuys CA 91401,34.177452,-118.416281
Venice Senior High,90066,9-12,W,4-Nick Melvoin,13000 Venice Blvd Los Angeles CA 90066,33.9970901,-118.4445798
Fries Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,1301 Fries Ave Wilmington CA 90744,33.7886708,-118.2658641
Gardena Senior High,90248,9-12,S,7-Dr Richard A Vladovic,1301 W 182nd St Gardena CA 90248,33.8672459,-118.29473090000002
Rockdale Visual & Performing Arts Magnet,90041,K- 6,C,5-Jackie Goldberg,1303 Yosemite Dr Los Angeles CA 90041,34.1333523,-118.1943249
Sylmar Academy Biotech Health/Eng Magnet,91342,9-12,NE,6-Kelly Gonez,13050 Borden Ave Sylmar CA 91342,34.3077277,-118.4410553
Harding Street Elementary,91342,K- 5,NE,6-Kelly Gonez,13060 Harding St Sylmar CA 91342,34.3052925,-118.4164548
Riverside Drive Charter School,91423,K- 5,NE,3-Scott M Schmerelson,13061 Riverside Dr Sherman Oaks CA 91423,34.1586514,-118.4172088
Brockton Avenue Elementary,90025,K- 5,W,4-Nick Melvoin,1309 Armacost Ave Los Angeles CA 90025,34.044357299999994,-118.4629919
APEX Academy,90028,7-12,XR,4-Nick Melvoin,1309 N Wilton Pl 3rd Fl Los Angeles CA 90028,34.0962709,-118.314839
Alliance College Ready Academy #12,90011,6- 6,XR,7-Dr Richard A Vladovic,131 E 50th St Los Angeles CA 90011,33.997698,-118.27327
Evergreen Continuation High,91342,9-12,NE,6-Kelly Gonez,13101 Dronfield Ave Sylmar CA 91342,34.309638799999995,-118.439898
Christopher Dena Elementary,90023,K- 6,E,2-Monica Garcia,1314 Dacotah St Los Angeles CA 90023,34.0221067,-118.2112245
Playa Vista Elementary,90094,K- 5,W,4-Nick Melvoin,13150 W Bluff Creek Dr Playa Vista CA 90094,33.9686229,-118.4243954
Joseph Le Conte Middle School,90028,6- 8,W,4-Nick Melvoin,1316 N Bronson Ave Hollywood CA 90028,34.0947984,-118.3166922
Thomas Jefferson Senior High,90011,9-12,C,5-Jackie Goldberg,1319 E 41st St Los Angeles CA 90011,34.0094826,-118.25087659999998
Betty Plasencia Elementary,90026,K- 5,C,2-Monica Garcia,1321 Cortez St Los Angeles CA 90026,34.066333,-118.25597340000002
Dr Lawrence H Moore Math Science Technology Academy,90001,K- 5,S,7-Dr Richard A Vladovic,1321 E 61st St Los Angeles CA 90001,33.9845948,-118.2517555
Purche Avenue Elementary STEAM Magnet,90249,1- 5,S,1-Dr George J McKenna III,13210 Purche Ave Gardena CA 90249,33.9123614,-118.32021
Sylmar Elementary,91342,K- 5,NE,6-Kelly Gonez,13291 Phillippi Ave Sylmar CA 91342,34.312037100000005,-118.4474172
Hubbard Street Elementary STEAM Magnet,91342,1- 3,NE,6-Kelly Gonez,13325 Hubbard St Sylmar CA 91342,34.314095,-118.424468
Vaughn Next Century Learning Center,91340,K-12,XR,6-Kelly Gonez,13330 Vaughn St San Fernando CA 91340,34.2804775,-118.4225892
Herrick Avenue Elementary,91342,K- 5,NE,6-Kelly Gonez,13350 Herrick Ave Sylmar CA 91342,34.31507270000001,-118.4639066
PUC Lakeview Charter High School,91342,9-12,XR,6-Kelly Gonez,13361 Glenoaks Blvd Sylmar CA 91342,34.3140317,-118.459644
Parmelee Avenue Elementary,90001,K- 6,S,7-Dr Richard A Vladovic,1338 E 76th Pl Los Angeles CA 90001,33.970087799999995,-118.2508983
Erwin Elementary,91401,K- 5,NE,3-Scott M Schmerelson,13400 Erwin St Van Nuys CA 91401,34.1826464,-118.4253073
Lake Street Primary School,90026,K- 1,C,2-Monica Garcia,135 N Lake St Los Angeles CA 90026,34.0681059,-118.2710311
20th Street Elementary,90011,K- 5,C,2-Monica Garcia,1353 E 20th St Los Angeles CA 90011,34.0224693,-118.2493274
Discovery Charter Preparatory School #2,91342,9-12,XR,6-Kelly Gonez,13570 Eldridge Ave Sylmar CA 91342,34.319027,-118.4249357
Kittridge Street Elementary,91401,K- 5,NE,3-Scott M Schmerelson,13619 Kittridge St Van Nuys CA 91401,34.191358,-118.42986299999998
Canterbury Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,13670 Montague St Arleta CA 91331,34.232913,-118.429194
STEM Preparatory Elementary,90007,K- 3,XR,1-Dr George J McKenna III,1374 W 35th St Los Angeles CA 90007,34.02432510000001,-118.2996633
Sharp Avenue Elementary,91331,K- 5,NE,6-Kelly Gonez,13800 Pierce St Arleta CA 91331,34.252292,-118.432521
Avalon Gardens Elementary,90061,K- 6,S,7-Dr Richard A Vladovic,13940 S San Pedro St Los Angeles CA 90061,33.9049987,-118.2684432
Miramonte Elementary,90001,K- 5,S,7-Dr Richard A Vladovic,1400 E 68th St Los Angeles CA 90001,33.9781209,-118.2498756
PUC Community Charter Elementary,91342,K- 5,XR,6-Kelly Gonez,14019 Syre St Sylmar CA 91342,34.306225899999994,-118.4387857
Benjamin Banneker Career and Transition Center,90061,12-12,S,7-Dr Richard A Vladovic,14024 S San Pedro St Los Angeles CA 90061,33.9039059,-118.2683393
Fairburn Avenue Elementary,90024,K- 5,W,4-Nick Melvoin,1403 Fairburn Ave Los Angeles CA 90024,34.0591585,-118.4311421
Chandler Elementary,91401,K- 5,NE,3-Scott M Schmerelson,14030 Weddington St Sherman Oaks CA 91401,34.165736200000005,-118.4390012
Chase Street Elementary,91402,K- 5,NW,6-Kelly Gonez,14041 Chase St Panorama City CA 91402,34.226489,-118.439682
White Point Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,1410 Silvius Ave San Pedro CA 90731,33.71657080000001,-118.3085231
Charles Drew MS University Pathways Public Service Academy,90001,9-11,S,7-Dr Richard A Vladovic,1415 Firestone Blvd Los Angeles CA 90001,33.960249600000004,-118.2490793
Robert E Peary Middle School,90247,6- 8,S,7-Dr Richard A Vladovic,1415 W Gardena Blvd Gardena CA 90247,33.882859,-118.301448
75th Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,142 W 75th St Los Angeles CA 90003,33.9716741,-118.2752087
Dr Julian Nava Learning Academy,90011,6- 8,C,2-Monica Garcia,1420 E Adams Blvd Los Angeles CA 90011,34.0152673,-118.2488249
Arleta Senior High,91331,9-12,NE,6-Kelly Gonez,14200 Van Nuys Blvd Arleta CA 91331,34.25064890000001,-118.4415659
