Unnamed: 0,Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street,Location,latitude,longitude,marijuana_related
4816,5622004,2019-05-07,605.0,14,Pacific,1494,30,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,500    WORLDWAY                     BL,,"['33.942', '-118.4095']",33.942,-118.4095,transport/sell/furnish/etc marijuana
5067,5622560,2019-05-07,2050.0,14,Pacific,1494,26,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,500    WORLD WAY,,"['33.9428', '-118.4054']",33.9428,-118.4054,transport/sell/furnish/etc marijuana
5499,5625643,2019-05-10,1820.0,12,77th Street,1283,27,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,2100 W  CENTURY                      BL,,"['33.9486', '-118.3094']",33.9486,-118.3094,transport/sell/furnish/etc marijuana
6025,5625769,2019-05-10,2030.0,19,Mission,1902,41,F,O,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,14900    LARKSPUR                     ST,,"['34.3216', '-118.4569']",34.3216,-118.4569,possession marijuana for sale
6062,192110186,2019-05-16,1730.0,21,Topanga,2196,18,M,B,16.0,Narcotic Drug Laws,I,11362.3A1HS,smoke/ingest marijuana in public place,WELLS,KELVIN,"['34.1578', '-118.584']",34.1578,-118.584,smoke/ingest marijuana in public place
6235,5623868,2019-05-09,148.0,14,Pacific,1494,31,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD                        WY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
6273,191311466,2019-05-14,1345.0,13,Newton,1307,31,M,H,16.0,Narcotic Drug Laws,M,11358(C)HS,cultivating <6 marijuana plants,700    STANFORD                     AV,,"['34.039', '-118.2444']",34.039,-118.2444,cultivating <6 marijuana plants
6627,191311465,2019-05-14,1345.0,13,Newton,1307,34,M,H,16.0,Narcotic Drug Laws,M,11358(C)HS,cultivating <6 marijuana plants,700    STANFORD                     AV,,"['34.039', '-118.2444']",34.039,-118.2444,cultivating <6 marijuana plants
6671,191311467,2019-05-14,1345.0,13,Newton,1307,32,M,H,16.0,Narcotic Drug Laws,M,11358(C)HS,cultivating <6 marijuana plants,700    STANFORD                     AV,,"['34.039', '-118.2444']",34.039,-118.2444,cultivating <6 marijuana plants
6847,191311464,2019-05-14,1345.0,13,Newton,1307,32,M,H,16.0,Narcotic Drug Laws,M,11358(C)HS,cultivating <6 marijuana plants,700    STANFORD                     AV,,"['34.039', '-118.2444']",34.039,-118.2444,cultivating <6 marijuana plants
6991,191812265,2019-05-16,1725.0,18,Southeast,1829,19,M,B,16.0,Narcotic Drug Laws,M,11357(B)HS,possess 28.5 grams or less of marijuana,2100 E  102ND                        ST,,"['33.9439', '-118.2346']",33.9439,-118.2346,possess 28.5 grams or less of marijuana
7400,5630292,2019-05-15,2110.0,8,West LA,849,22,M,B,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,LA CIENEGA,OLYMPIC,"['34.0595', '-118.3762']",34.0595,-118.3762,possess marijuana for sale
7774,5629937,2019-05-15,1100.0,14,Pacific,1494,31,M,W,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,500    WORLD                        WY,,"['33.9428', '-118.4054']",33.9428,-118.4054,transport/sell/furnish/etc marijuana
9714,5634563,2019-05-20,1750.0,14,Pacific,1494,32,F,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,200    WORLD                        WY,,"['33.9449', '-118.4059']",33.9449,-118.4059,transport/sell/furnish/etc marijuana
10203,5631678,2019-05-17,820.0,14,Pacific,1494,29,F,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD                        WY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
10493,5631928,2019-05-17,1445.0,1,Central,132,37,M,B,16.0,Narcotic Drug Laws,M,11360(A)2HS,sale/offer to sell/transport marijuana,100 S  HILL                         ST,,"['34.0547', '-118.2505']",34.0547,-118.2505,sale/offer to sell/transport marijuana
10669,5634362,2019-05-20,1030.0,14,Pacific,1494,32,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLD WAY,,"['33.9432', '-118.4013']",33.9432,-118.4013,transport/sell/furnish/etc marijuana
10726,5633961,2019-05-19,2125.0,1,Central,192,22,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,LOS ANGELES,18TH,"['34.0363', '-118.2672']",34.0363,-118.2672,transport/sell/furnish/etc marijuana
10959,5635392,2019-05-21,1130.0,14,Pacific,1494,21,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLDWAY                     BL,,"['33.942', '-118.4095']",33.942,-118.4095,transport/sell/furnish/etc marijuana
11098,5636632,2019-05-22,1845.0,14,Pacific,1412,27,M,O,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,OCEAN FRONT                  WK,ROSE                         AV,"['33.9947', '-118.4805']",33.9947,-118.4805,possess marijuana for sale
11318,5636603,2019-05-22,1845.0,14,Pacific,1412,58,M,B,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,OCEAN FRONT                  WK,ROSE                         AV,"['33.9947', '-118.4805']",33.9947,-118.4805,possess marijuana for sale
11428,5636605,2019-05-22,1200.0,5,Harbor,529,57,M,W,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,D                            ST,LAKME                        ST,"['33.7743', '-118.2594']",33.7743,-118.2594,transport/sell/furnish/etc marijuana
11570,5636663,2019-05-22,1800.0,18,Southeast,1802,27,F,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,8800 S  FIGUEROA                     ST,,"['33.9574', '-118.2827']",33.9574,-118.2827,possess marijuana for sale
13167,5571968,2019-03-13,2245.0,3,Southwest,317,25,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,2200 S  BUDLONG                      AV,,"['34.0364', '-118.2964']",34.0364,-118.2964,transport/sell/furnish/etc marijuana
13233,5628329,2019-05-14,310.0,15,N Hollywood,1585,48,M,W,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,10600    VENTURA                      BL,,"['34.143', '-118.3727']",34.143,-118.3727,possession marijuana for sale
13303,5632166,2019-05-17,1649.0,14,Pacific,1494,37,M,W,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD                        WY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
14069,5640618,2019-05-26,2150.0,14,Pacific,1494,27,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,200    WORLD WAY,,"['33.9449', '-118.4059']",33.9449,-118.4059,transport/sell/furnish/etc marijuana
14271,5638919,2019-05-24,1800.0,14,Pacific,1494,26,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD                        WY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
14295,5640819,2019-05-27,615.0,14,Pacific,1494,24,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD                        WY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
14376,191710697,2019-05-30,1245.0,17,Devonshire,1712,48,M,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,11200    TAMPA                        AV,,"['34.2741', '-118.5565']",34.2741,-118.5565,possess marijuana for sale
14585,5640256,2019-05-26,705.0,14,Pacific,1494,33,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLDWAY                     BL,,"['33.942', '-118.4095']",33.942,-118.4095,transport/sell/furnish/etc marijuana
14672,5643653,2019-05-29,2155.0,14,Pacific,1494,24,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,500    WORLD WAY,,"['33.9428', '-118.4054']",33.9428,-118.4054,transport/sell/furnish/etc marijuana
15225,5640522,2019-05-26,913.0,14,Pacific,1494,27,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD                        WY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
15996,5554796,2019-02-23,225.0,9,Van Nuys,909,27,M,B,16.0,Narcotic Drug Laws,M,11360(B)HS,give/transport/etc < 28.5 grams marijuana,WOODMAN                      AV,VALERIO                      ST,"['34.2049', '-118.4313']",34.2049,-118.4313,give/transport/etc < 28.5 grams marijuana
16073,5635560,2019-05-21,1645.0,17,Devonshire,1756,37,M,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,DEVONSHIRE                   ST,LOUISE                       AV,"['34.2576', '-118.5111']",34.2576,-118.5111,possess marijuana for sale
16149,5640347,2019-05-26,1040.0,15,N Hollywood,1557,37,M,B,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,4700    LANKERSHIM                   BL,,"['34.1557', '-118.3691']",34.1557,-118.3691,possession marijuana for sale
16170,5641202,2019-05-27,1345.0,14,Pacific,1494,23,M,B,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,300    WORLD                        WY,,"['33.944', '-118.4073']",33.944,-118.4073,possess marijuana for sale
16309,5445577,2019-05-25,1606.0,14,Pacific,1494,41,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLD WAY,,"['33.9432', '-118.4013']",33.9432,-118.4013,transport/sell/furnish/etc marijuana
16440,5649269,2019-06-04,1825.0,15,N Hollywood,1512,30,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,WHITSETT,VOSE,"['34.1973', '-118.4116']",34.1973,-118.4116,transport/sell/furnish/etc marijuana
16504,191710906,2019-06-04,1425.0,17,Devonshire,1712,27,M,O,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,11200    TAMPA                        AV,,"['34.2741', '-118.5565']",34.2741,-118.5565,possess marijuana for sale
16721,5648210,2019-06-03,1600.0,13,Newton,1361,27,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,5000 S  BROADWAY,,"['33.9974', '-118.2783']",33.9974,-118.2783,transport/sell/furnish/etc marijuana
17003,5646173,2019-06-01,930.0,14,Pacific,1413,50,M,G,16.0,Narcotic Drug Laws,F,11358HS,unlawfully plant/cultivate/etc marijuana,ROSE,HAMPTON,"['33.997', '-118.4761']",33.997,-118.4761,unlawfully plant/cultivate/etc marijuana
17226,5626912,2019-05-12,1200.0,1,Central,145,29,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400 S  LOS ANGELES                  ST,,"['34.0471', '-118.2474']",34.0471,-118.2474,transport/sell/furnish/etc marijuana
17249,5646138,2019-06-01,640.0,14,Pacific,1494,26,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLD WAY,,"['33.9432', '-118.4013']",33.9432,-118.4013,transport/sell/furnish/etc marijuana
17485,5638914,2019-05-24,1750.0,3,Southwest,325,31,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,BUDLONG                      AV,27TH                         ST,"['34.0305', '-118.2959']",34.0305,-118.2959,transport/sell/furnish/etc marijuana
17772,5650195,2019-06-05,1645.0,18,Southeast,1822,25,M,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,9300 S  BROADWAY                     ST,,"['33.9519', '-118.2781']",33.9519,-118.2781,possess marijuana for sale
17884,5653078,2019-06-08,1200.0,14,Pacific,1494,31,F,W,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD                        WY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
19632,4642124,2016-04-21,1500.0,10,West Valley,1003,16,M,H,16.0,Narcotic Drug Laws,M,11357(C)HS,poss of more than 28.5 grams of marijuana,18800    ARMINTA                      ST,,"['34.2138', '-118.5426']",34.2138,-118.5426,poss of more than 28.5 grams of marijuana
19867,5649583,2019-06-04,2345.0,6,Hollywood,645,31,M,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,ORANGE,HAWTHORNE,"['34.1006', '-118.3417']",34.1006,-118.3417,possess marijuana for sale
20425,5653557,2019-06-09,150.0,19,Mission,1984,37,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,WILLIS,ROSCOE,"['34.2215', '-118.4553']",34.2215,-118.4553,transport/sell/furnish/etc marijuana
20652,5652884,2019-06-08,45.0,7,Wilshire,733,28,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,FAIRFAX                      AV,6TH                          ST,"['34.0649', '-118.3614']",34.0649,-118.3614,transport/sell/furnish/etc marijuana
20705,5654016,2019-06-09,1935.0,14,Pacific,1494,24,M,W,16.0,Narcotic Drug Laws,M,11357(C)HS,poss of more than 28.5 grams of marijuana,200    WORLD                        WY,,"['33.9449', '-118.4059']",33.9449,-118.4059,poss of more than 28.5 grams of marijuana
20916,5653478,2019-06-08,2200.0,14,Pacific,1494,23,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD                        WY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
21347,5658689,2019-06-14,615.0,14,Pacific,1494,36,F,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,100    WORLD                        WY,,"['33.9451', '-118.4029']",33.9451,-118.4029,transport/sell/furnish/etc marijuana
21349,5657989,2019-06-13,1700.0,14,Pacific,1494,20,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD                        WY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
21460,5657901,2019-06-13,1630.0,14,Pacific,1494,19,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD                        WY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
21508,5659384,2019-06-14,2230.0,14,Pacific,1494,32,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,600    WORLD                        WY,,"['33.943', '-118.4035']",33.943,-118.4035,transport/sell/furnish/etc marijuana
21530,5656989,2019-06-12,1825.0,18,Southeast,1861,38,M,B,16.0,Narcotic Drug Laws,M,11360(A)2HS,sale/offer to sell/transport marijuana,700 W  IMPERIAL                     HY,,"['33.931', '-118.287']",33.931,-118.287,sale/offer to sell/transport marijuana
21796,5653121,2019-06-08,1300.0,14,Pacific,1494,18,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD WAY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
21797,5653139,2019-06-08,1300.0,14,Pacific,1494,37,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,300    WORLD WAY,,"['33.944', '-118.4073']",33.944,-118.4073,transport/sell/furnish/etc marijuana
22619,5659415,2019-06-14,2230.0,10,West Valley,1041,24,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,OXNARD,YOLANDA,"['34.1802', '-118.5407']",34.1802,-118.5407,transport/sell/furnish/etc marijuana
22746,5660275,2019-06-15,1930.0,14,Pacific,1432,41,M,B,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,PLEASANT VIEW,CALIFORNIA,"['33.9934', '-118.46']",33.9934,-118.46,possession marijuana for sale
22846,5659390,2019-06-14,2230.0,10,West Valley,1041,34,M,O,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,OXNARD,YOLANDA,"['34.1802', '-118.5407']",34.1802,-118.5407,transport/sell/furnish/etc marijuana
23101,5658880,2019-06-14,944.0,14,Pacific,1494,28,F,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLD                        WY,,"['33.9432', '-118.4013']",33.9432,-118.4013,transport/sell/furnish/etc marijuana
23128,5655784,2019-06-11,1810.0,14,Pacific,1494,35,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,100    WORLD WAY,,"['33.9451', '-118.4029']",33.9451,-118.4029,transport/sell/furnish/etc marijuana
23328,5665855,2019-06-21,1110.0,18,Southeast,1862,24,M,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,11800 S  MAIN                         ST,,"['33.9265', '-118.2739']",33.9265,-118.2739,possess marijuana for sale
23413,5663165,2019-06-19,515.0,14,Pacific,1494,20,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,200    WORLD WAY,,"['33.9449', '-118.4059']",33.9449,-118.4059,transport/sell/furnish/etc marijuana
23506,5664925,2019-06-20,1800.0,18,Southeast,1891,27,F,O,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,800 W  GARDENA                      BL,,"['33.8817', '-118.2891']",33.8817,-118.2891,possess marijuana for sale
23550,5665820,2019-06-21,1110.0,18,Southeast,1862,20,F,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,11800 S  MAIN                         ST,,"['33.9265', '-118.2739']",33.9265,-118.2739,possess marijuana for sale
23678,5534851,2019-01-30,1910.0,3,Southwest,326,37,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,77TH                         ST,NORMANDIE                    ST,"['34.0309', '-118.3024']",34.0309,-118.3024,transport/sell/furnish/etc marijuana
23692,5643947,2019-05-30,630.0,5,Harbor,566,26,M,W,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,9TH,PALOS VERDES,"['33.736', '-118.2814']",33.736,-118.2814,possession marijuana for sale
23980,5665801,2019-06-21,1115.0,18,Southeast,1862,19,F,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,11800 S  MAIN                         ST,,"['33.9265', '-118.2739']",33.9265,-118.2739,possess marijuana for sale
23981,5665815,2019-06-21,1115.0,18,Southeast,1862,24,F,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,11800 S  MAIN                         ST,,"['33.9265', '-118.2739']",33.9265,-118.2739,possess marijuana for sale
23982,5665833,2019-06-21,1115.0,18,Southeast,1862,26,M,H,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,11800 S  MAIN                         ST,,"['33.9265', '-118.2739']",33.9265,-118.2739,possess marijuana for sale
24312,5668102,2019-06-23,2240.0,1,Central,129,33,M,B,16.0,Narcotic Drug Laws,F,11358HS,unlawfully plant/cultivate/etc marijuana,VIGNES,1ST,"['34.0484', '-118.2339']",34.0484,-118.2339,unlawfully plant/cultivate/etc marijuana
24346,5667984,2019-06-23,1840.0,4,Hollenbeck,466,29,M,H,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,MATHEWS,1ST,"['34.0432', '-118.2085']",34.0432,-118.2085,possession marijuana for sale
24499,191414992,2019-06-27,2355.0,14,Pacific,1494,30,M,W,16.0,Narcotic Drug Laws,M,11357(B)HS,possess 28.5 grams or less of marijuana,700    WORLD                        WY,,"['33.9432', '-118.4013']",33.9432,-118.4013,possess 28.5 grams or less of marijuana
24676,5667837,2019-06-23,1457.0,14,Pacific,1494,28,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,100    WORLD WAY,,"['33.9451', '-118.4029']",33.9451,-118.4029,transport/sell/furnish/etc marijuana
24785,5636327,2019-05-22,1200.0,5,Harbor,529,57,M,W,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,D                            ST,LAKME                        ST,"['33.7743', '-118.2594']",33.7743,-118.2594,transport/sell/furnish/etc marijuana
25408,5671883,2019-06-27,1900.0,1,Central,154,35,M,H,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,SPRING,6TH                          ST,"['34.046', '-118.2509']",34.046,-118.2509,possession marijuana for sale
25473,5672091,2019-06-27,2255.0,9,Van Nuys,905,21,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,VALERIO,VAN NUYS,"['34.2048', '-118.4488']",34.2048,-118.4488,transport/sell/furnish/etc marijuana
25740,5671688,2019-06-27,1130.0,6,Hollywood,632,24,M,B,16.0,Narcotic Drug Laws,M,11359(B)HS,possess marijuana for sale,HOLLYWOOD                    BL,CRESCENT HEIGHTS,"['34.1', '-118.3676']",34.1,-118.3676,possess marijuana for sale
26288,5674844,2019-06-30,1905.0,14,Pacific,1494,33,M,H,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,400    WORLD WAY,,"['33.9433', '-118.4072']",33.9433,-118.4072,transport/sell/furnish/etc marijuana
26339,5672145,2019-06-27,2130.0,20,Olympic,2015,26,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,1ST,KENMORE,"['34.0728', '-118.2975']",34.0728,-118.2975,transport/sell/furnish/etc marijuana
26444,5675814,2019-07-01,1905.0,12,77th Street,1248,34,M,H,16.0,Narcotic Drug Laws,M,11357(C)HS,poss of more than 28.5 grams of marijuana,69TH                         ST,MENLO,"['33.9773', '-118.2892']",33.9773,-118.2892,poss of more than 28.5 grams of marijuana
26626,5672070,2019-06-27,2357.0,20,Olympic,2015,25,M,B,16.0,Narcotic Drug Laws,F,11359HS,possession marijuana for sale,KENMORE,1ST,"['34.0728', '-118.2965']",34.0728,-118.2965,possession marijuana for sale
26696,5676799,2019-07-02,2220.0,14,Pacific,1497,25,M,B,16.0,Narcotic Drug Laws,F,11360(A)HS,transport/sell/furnish/etc marijuana,700    WORLD WAY,,"['33.9431', '-118.3743']",33.9431,-118.3743,transport/sell/furnish/etc marijuana
